Name,PriceInText,Price,City,Year,Distance,Fuel,HorsePower,Transmission,Certified,ManagedBy,Distance2
DFSK Glory 580  2021 Pro,PKR 45.5 lacs,4550000,Karachi,2021,"32,870km",Petrol,1500cc,Automatic,Certified,PakWheels,32870
Changan Karvaan  2024 Plus 1.2,PKR 31.25 lacs,3125000,Karachi,2024,5km,Petrol,1200cc,Manual,Not Certified,Customer,5
Honda City  2000 EXi,PKR 10 lacs,1000000,Lahore,2000,"248,000km",Petrol,1300cc,Manual,Not Certified,Customer,248000
Mazda Titan  1982 ,PKR 25 lacs,2500000,Lahore,1982,"8,000km",Diesel,2800cc,Manual,Not Certified,Customer,8000
Honda City 5th (GM2) Generation 2011 1.3 i-VTEC,PKR 25 lacs,2500000,Islamabad,2011,"351,025km",Petrol,1300cc,Manual,Not Certified,Customer,351025
Honda City 5th (GM2) Generation 2021 Aspire Prosmatec 1.5 i-VTEC,PKR 42.2 lacs,4220000,Abbottabad,2021,"35,000km",Petrol,1500cc,Automatic,Not Certified,Customer,35000
Toyota Land Cruiser  2015 ZX,PKR 3.6 crore,36000000,Karachi,2015,"44,000km",Petrol,4600cc,Automatic,Not Certified,Customer,44000
Toyota Passo  2007 G 1.0,PKR 18.85 lacs,1885000,Islamabad,2007,"150,000km",Petrol,1000cc,Automatic,Not Certified,Customer,150000
DFSK Glory 580  2021 Pro,PKR 47 lacs,4700000,Lahore,2021,"47,000km",Petrol,1500cc,Automatic,Not Certified,Customer,47000
Toyota Corolla  1988 SE,PKR 9.5 lacs,950000,Abbottabad,1988,"110,000km",Petrol,1500cc,Automatic,Not Certified,Customer,110000
Suzuki Wagon R  2018 VXL,PKR 21.5 lacs,2150000,Hasilpur,2018,"88,000km",Petrol,1000cc,Manual,Not Certified,Customer,88000
Chery Tiggo 8 Pro  2022 1.6 DEX Plus,PKR 85 lacs,8500000,Burewala,2022,"26,000km",Petrol,1600cc,Automatic,Not Certified,Customer,26000
Toyota Aqua  2013 S,PKR 32.8 lacs,3279999,Peshawar,2013,"200,800km",Hybrid,1500cc,Automatic,Not Certified,Customer,200800
Toyota C-HR  2019 S-GR Package,PKR 1.05 crore,10500000,Karachi,2019,"29,000km",Hybrid,1800cc,Automatic,Not Certified,Customer,29000
Daihatsu Mira  2021 G SA III,PKR 42.5 lacs,4250000,Lahore,2021,"2,300km",Petrol,660cc,Automatic,Not Certified,Customer,2300
Daihatsu Cuore  2006 CX Automatic,PKR 10.7 lacs,1070000,Karachi,2006,"300,000km",Petrol,800cc,Automatic,Not Certified,Customer,300000
Suzuki Mehran  2017 VX Euro II Limited Edition,PKR 12.8 lacs,1280000,Lahore,2017,"71,000km",Petrol,796cc,Manual,Not Certified,Customer,71000
Suzuki Bolan  2012 VX Euro II,PKR 12.15 lacs,1215000,Jhelum,2012,"61,000km",Petrol,800cc,Manual,Not Certified,Customer,61000
Toyota Corolla Axio  2018 WXB,PKR 78 lacs,7800000,Karachi,2018,"47,500km",Petrol,1500cc,Automatic,Not Certified,Customer,47500
Daihatsu Cuore  2009 CX,PKR 8.3 lacs,830000,Karachi,2009,1km,Petrol,800cc,Manual,Not Certified,Customer,1
Suzuki Vitara  2017 GL+ 1.6,PKR 43.9 lacs,4390000,Islamabad,2017,"99,000km",Petrol,1600cc,Automatic,Not Certified,Customer,99000
Suzuki Mehran  2017 VXR Euro II,PKR 14.15 lacs,1415000,Rawalpindi,2017,"70,000km",Petrol,796cc,Manual,Not Certified,Customer,70000
Toyota Corolla Fielder  2012 X Light,PKR 36.5 lacs,3650000,Quetta,2012,"170,000km",Petrol,1500cc,Automatic,Not Certified,Customer,170000
Hyundai Tucson  2022 AWD A/T Ultimate,PKR 78.75 lacs,7875000,Lahore,2022,"33,000km",Petrol,2000cc,Automatic,Not Certified,Customer,33000
Toyota Corolla  2016 GLi Automatic 1.3 VVTi,PKR 37.5 lacs,3750000,Lahore,2016,"88,000km",Petrol,1300cc,Automatic,Not Certified,Customer,88000
Suzuki Mehran  2005 VXR (CNG),PKR 5.25 lacs,525000,Karachi,2005,"10,000km",Petrol,800cc,Manual,Not Certified,Customer,10000
Toyota Passo  2023 X S ,PKR 45 lacs,4500000,Lahore,2023,"3,000km",Petrol,1000cc,Automatic,Not Certified,Customer,3000
Suzuki Alto  2001 ,PKR 5.25 lacs,525000,Karachi,2001,"99,000km",Petrol,1000cc,Manual,Not Certified,Customer,99000
