Name,PriceInText,Price,City,Year,Distance,Fuel,HorsePower,Transmission,Certified,ManagedBy,Distance2
Toyota Raize  2021 XS,PKR 59.25 lacs,5925000,Islamabad,2021,"88,000km",Petrol,1000cc,Automatic,Not Certified,Customer,88000
Nissan Dayz  2020 ,PKR 34.5 lacs,3450000,Islamabad,2020,"16,000km",Petrol,660cc,Automatic,Not Certified,Customer,16000
Honda Insight  2019 EX,PKR 1.08 crore,10800000,Islamabad,2019,"67,534km",Hybrid,1500cc,Automatic,Not Certified,Customer,67534
Toyota Land Cruiser  2016 AX,PKR 2.85 crore,28500000,Faisalabad,2016,"75,000km",Petrol,4600cc,Automatic,Not Certified,Customer,75000
Honda Vezel  2015 Hybrid Z,PKR 53 lacs,5300000,Lahore,2015,"85,234km",Hybrid,1500cc,Automatic,Certified,PakWheels,85234
Toyota Passo  2021 X,PKR 41.95 lacs,4195000,Lahore,2021,"88,000km",Petrol,1000cc,Automatic,Not Certified,Customer,88000
Nissan Juke  2012 ,PKR 34.3 lacs,3429999,Lahore,2012,"131,000km",Petrol,1500cc,Automatic,Not Certified,Customer,131000
Suzuki Wagon R  2018 VXR,PKR 21.5 lacs,2150000,Lahore,2018,"93,000km",Petrol,1000cc,Manual,Not Certified,Customer,93000
Toyota Vitz  2002 FL 1.0,PKR 16.5 lacs,1650000,Faisalabad,2002,"190,000km",Petrol,1000cc,Automatic,Not Certified,Customer,190000
Suzuki Alto  2010 VXR,PKR 9.9 lacs,990000,Karachi,2010,"576,487km",Petrol,1000cc,Manual,Not Certified,Customer,576487
Toyota Prius  2013 G 1.8,PKR 43 lacs,4300000,Islamabad,2013,"126,000km",Hybrid,1800cc,Automatic,Not Certified,Customer,126000
Honda City  2024 1.2L CVT,PKR 48.8 lacs,4880000,Islamabad,2024,600km,Petrol,1200cc,Automatic,Not Certified,Customer,600
Toyota C-HR  2019 S,PKR 82.5 lacs,8250000,Karachi,2019,"77,000km",Hybrid,1800cc,Automatic,Not Certified,Customer,77000
Toyota Yaris  2021 ATIV X CVT 1.5,PKR 44.49 lacs,4449000,Karachi,2021,"34,000km",Petrol,1500cc,Automatic,Not Certified,Customer,34000
Toyota Prado  2005 TX Limited 3.4,PKR 90 lacs,9000000,Islamabad,2005,"209,000km",Petrol,3400cc,Automatic,Not Certified,Customer,209000
Peugeot 2008  2023 Allure,PKR 65 lacs,6500000,Islamabad,2023,"39,000km",Petrol,1200cc,Automatic,Not Certified,Customer,39000
Toyota Corolla  2011 GLi 1.3 VVTi,PKR 25 lacs,2500000,Islamabad,2011,"194,000km",Petrol,1300cc,Manual,Not Certified,Customer,194000
Daihatsu Move  2017 L SA 3,PKR 28.5 lacs,2850000,Islamabad,2017,"72,000km",Petrol,660cc,Automatic,Not Certified,Customer,72000
Hyundai Sonata  2005 2.5,PKR 25 lacs,2500000,Islamabad,2005,"102,000km",Petrol,2400cc,Automatic,Not Certified,Customer,102000
BMW 7 Series  2002 735i,PKR 43 lacs,4300000,Islamabad,2002,"123,000km",Petrol,3600cc,Automatic,Not Certified,Customer,123000
Mercedes Benz CLS Class  2006 CLS350,PKR 1.1 crore,11000000,Islamabad,2006,"68,000km",Petrol,3500cc,Automatic,Not Certified,Customer,68000
Toyota Premio  2007 X 1.8,PKR 38 lacs,3800000,Islamabad,2007,"185,000km",Petrol,1800cc,Automatic,Not Certified,Customer,185000
Toyota Corolla  2000 GLi 1.6,PKR 25.5 lacs,2550000,Islamabad,2000,"93,000km",Petrol,1600cc,Manual,Not Certified,Customer,93000
Toyota Prado  1995 ,PKR 46 lacs,4600000,Islamabad,1995,"252,000km",Diesel,3000cc,Automatic,Not Certified,Customer,252000
Toyota Corolla  1989 DX,PKR 15 lacs,1500000,Islamabad,1989,"243,000km",Petrol,1300cc,Manual,Not Certified,Customer,243000
Suzuki Mehran  2015 VX Euro II,PKR 10.5 lacs,1050000,Rawalpindi,2015,"18,009km",Petrol,796cc,Manual,Not Certified,PakWheels,18009
Suzuki Swift  2024 GLX CVT,PKR 50.25 lacs,5025000,Islamabad,2024,25km,Petrol,1200cc,Automatic,Not Certified,Customer,25
Peugeot 2008  2023 Allure,PKR 66.5 lacs,6650000,Islamabad,2023,"16,000km",Petrol,1200cc,Automatic,Not Certified,Customer,16000
